Material,Eg_eV,Density_g_cm3,DOS_at_Ef,Conductivity_Proxy,Log_Sigma,Regime
HfCuSn,0.0,10.906548173599896,2.0546,22.40859387747835,1.3504146057377482,Metal
HoCuSn,0.0,9.103584240360748,0.7731,7.037980976222895,0.8474480886018785,Metal
LaCuPb,0.0,8.92889758653812,0.8293,7.404734768516064,0.8695095070720248,Metal
CeCuPb,0.0,9.335108442515423,1.7034,15.901423720980773,1.2014360102656207,Metal
TbCuSn,0.0,8.753420151860084,0.8124,7.111278531371132,0.8519476892311791,Metal
ErCuSn,0.0,9.267653759432017,0.7647,7.086974829837664,0.8504608903262699,Metal
SmCuSn,0.0,8.190364463194015,0.8278,6.779983702632006,0.8312286499405048,Metal
LuCuSn,0.0,9.7213137402337,0.8323,8.09104942599651,0.9080048541716158,Metal
YCuSn,0.0,6.973223810562701,0.7436,5.185289225534425,0.7147729855261922,Metal
ScCuSn,0.0,6.567402923261273,1.0133,6.654749382140649,0.8231317045951537,Metal
HoCuPb,0.0,10.954842110774246,0.8831,9.674221068024737,0.9856160073412239,Metal
ErCuPb,0.0,11.120466379298362,0.8568,9.528015593782836,0.9790024592568082,Metal
LuCuPb,0.0,11.60192269200584,0.8902,10.328031580423598,1.014017557223717,Metal
DyCuGe,0.0,8.878226387718664,0.8078,7.1718312759991365,0.8556300638347849,Metal
TbCuPb,0.0,10.606853655969603,0.865,9.174928412413706,0.96260268434957,Metal
SmCuPb,0.0,9.995658558872256,0.9,8.996092702985031,0.954053922111621,Metal
TmCuPb,0.0,11.267945011007107,0.9092,10.244815604007663,1.0105041459642299,Metal
NdCuSn,0.0,7.785120658370407,0.866,6.741914490148773,0.8287832399309317,Metal
YCuPb,0.0,8.888407541791981,0.9096,8.084895500013985,0.9076744108822278,Metal
GdCuSn,0.0,8.551945769526814,0.9927999999999999,8.49037175998622,0.9289267067126548,Metal
DyCuPb,0.0,10.800308080722255,0.8301,8.965335737807543,0.9525665578569763,Metal
DyCuSn,0.0,8.965700807449014,0.8679,7.781331730784999,0.891053930393301,Metal
YbCuGe,0.0,9.653174900457682,3.3433,32.27345964470017,1.5088455233249016,Metal
TbCuGe,0.0,8.602249565996697,0.9488,8.161814388217666,0.911786714053277,Metal
HoCuGe,0.0,9.065437933337053,0.8752,7.934071279256589,0.8994960978386844,Metal
ErCuGe,0.0,9.255115748523878,0.7811,7.229170911172001,0.8590884924112242,Metal
YCuGe,0.0,6.416389391788753,1.6447,10.553035632674963,1.0233774045558814,Metal
Th2CuSi3,0.0,8.391775712555944,2.6671,22.381705002957958,1.3498931673225785,Metal
TbCuNi4,0.0,9.424735648377471,7.143,67.32088673636028,1.8281498277763848,Metal
SmCuGe,0.0,7.837566848297742,1.955,15.322443188422087,1.1853280197805773,Metal
PrCuGe,0.0,7.194508075590287,1.6059,11.553660518590442,1.0627196025142507,Metal
NdCuGe,0.0,7.4307338487219035,1.7782,13.213330929797289,1.1210123120976792,Metal
LaCuGe,0.0,6.90104239426094,1.7062,11.774558533088015,1.0709446329818617,Metal
LaCuNi4,0.0,8.537709982919951,7.5932,64.82853944230777,1.8117662372554082,Metal
La2CuSi3,0.0,5.499465818383142,3.547,19.506605257805006,1.2901816955329113,Metal
ScCuGe,0.0,6.219505853922548,1.7872,11.115500862130377,1.0459290366978102,Metal
HoAlCu,0.0,7.598767329735023,5.1387,39.04778567730936,1.5915964109316572,Metal
YbAlCu,0.0,8.098907581723852,5.4073,43.793222966655385,1.641406908315437,Metal
ErAlCu,0.0,7.774684786148579,5.2012,40.43769050971599,1.6067863440632717,Metal
PrAlCu,0.0,6.165468876521941,7.5633,46.631290753798396,1.6686774368899895,Metal
Zr6CuBi2,0.0,8.441075627043086,8.3183,70.2153993884325,1.8464323704778254,Metal
DyCdCu,0.0,9.152751017069876,6.0265,55.15905400437161,1.7416168092775453,Metal
DyAlCu,0.0,7.460746875978655,5.5522,41.42355880480869,1.617247407520741,Metal
TbAlCu,0.0,7.268007839302572,5.5381,40.25095421484158,1.6047761804895146,Metal
YAlCu,0.0,5.230648650460083,5.3872,28.178550409758557,1.449918647921949,Metal
PrInCu,0.0,7.716491609511339,6.5035,50.18420318245699,1.7005670328762548,Metal
NdAlCu,0.0,6.358671702401698,7.2183,45.89879994944618,1.661801330807343,Metal
DyInCu,0.0,9.095588722396618,3.6876,33.54089297270977,1.5255746208222813,Metal
GdAlCu,0.0,7.08767615337136,6.2309,44.16260134404161,1.6450546470610956,Metal
YInCu,0.0,7.055246317406443,3.8391,27.085796137155075,1.4327416053998767,Metal
SmInCu,0.0,8.333537167152638,4.5978,38.3159371871344,1.5833794526322766,Metal
YMgCu,0.0,4.599471291917196,7.2676,33.42711756113741,1.524098928754688,Metal
ScCuSi,0.0,4.891050745668054,1.7799,8.70558122221457,0.9397977718022769,Metal
TbInCu,0.0,8.9031544605295,4.2436,37.78142626870298,1.5772783487414255,Metal
CeInCu,0.0,7.756271759868525,54.5682,423.24578864685765,2.6265926455134316,Metal
NdInCu,0.0,7.945870637790328,6.0392,47.98670195574335,1.6811209026392828,Metal
HoInCu,0.0,9.239731212085344,3.9191,36.21143059328367,1.5588456826888561,Metal
ErInCu,0.0,9.41893328203112,4.3687,41.14849382920935,1.614353943227727,Metal
LaMg4Cu,0.0,3.580800629958529,13.7879,49.3717210058052,1.693478266177216,Metal
TmAlCu,0.0,7.897391916769192,5.7521,45.426588044448074,1.6573101185211625,Metal
SmAlCu,0.0,6.729571502147638,6.2492,42.05443823122102,1.6238118359878873,Metal
CsCuSe4,1.1049,4.695883409828323,0.0,2.4561099668808253e-09,-8.592420466248294,Semiconductor
CsCuS4,1.7757,3.353355744998353,25.5635,4.06539014264861e-15,-9.999982344593821,Semiconductor
RbCuSe4,1.0105,4.624422693809937,2.1529,1.5016698747090823e-08,-7.820543041669541,Semiconductor
Hf5CuSb3,0.0,12.205719922767885,9.7164,118.59565705758189,2.0740687855677202,Metal
Zr5CuSn3,0.0,7.641932226413275,13.8105,105.53890501288053,2.0234125839733084,Metal
Zr5CuBi3,0.0,9.632165343478698,11.8561,114.1999155288178,2.05766578267219,Metal
Ti5CuSb3,0.0,7.035897342643713,10.0909,70.99853649488344,1.8512493966246575,Metal
Zr5CuSb3,0.0,7.85003125516819,11.643699999999999,91.40340892580184,1.96096239321852,Metal
Zr5CuPb3,0.0,9.629501073623208,13.5626,130.60107126112212,2.1159467392738893,Metal
Ti5CuSn3,0.0,6.801206518510108,19.0454,129.5316986276324,2.11237606073014,Metal
Hf5CuSn3,0.0,11.940486899450683,14.4034,171.98360900754795,2.2354870582055852,Metal
Hf5CuPb3,0.0,13.842193614780332,13.1373,181.84905017545364,2.2597110370124347,Metal
